Customer_ID,Email,Phone,Geography_ID
1,customer1@example.com,+84965682867,10968
2,customer2@example.com,+84956755036,10968
3,customer3@example.com,+84956882282,10968
4,customer4@example.com,+84921081788,10968
5,customer5@example.com,+84913315092,10968
6,customer6@example.com,+84935788921,26281
8,customer8@example.com,+84926735830,26281
9,customer9@example.com,+84993410762,26281
10,customer10@example.com,+84996319575,26281
11,customer11@example.com,+84991090292,38003
12,customer12@example.com,+84931632483,38003
13,customer13@example.com,+84976737383,38003
14,customer14@example.com,+84988358551,38003
15,customer15@example.com,+84988409749,38003
16,customer16@example.com,+84904981505,281
17,customer17@example.com,+84913953367,281
18,customer18@example.com,+84985652971,281
20,customer20@example.com,+84904521373,281
22,customer22@example.com,+84903344769,282
23,customer23@example.com,+84998750923,282
24,customer24@example.com,+84976893497,282
26,customer26@example.com,+84930349564,17848
27,customer27@example.com,+84999052376,17848
28,customer28@example.com,+84942860080,17848
30,customer30@example.com,+84977751354,17848
32,customer32@example.com,+84962250665,10969
33,customer33@example.com,+84966209791,10969
35,customer35@example.com,+84946792155,10969
36,customer36@example.com,+84921498555,38004
38,customer38@example.com,+84997117135,38004
40,customer40@example.com,+84960221198,38004
41,customer41@example.com,+84979757501,9627
42,customer42@example.com,+84916861870,9627
43,customer43@example.com,+84952286002,9627
44,customer44@example.com,+84932049003,9627
45,customer45@example.com,+84961136438,9627
46,customer46@example.com,+84962194931,10970
47,customer47@example.com,+84965285250,10970
48,customer48@example.com,+84969537252,10970
49,customer49@example.com,+84959248434,10970
50,customer50@example.com,+84961306900,10970
51,customer51@example.com,+84955831368,4992
52,customer52@example.com,+84910959014,4992
53,customer53@example.com,+84956972561,4992
55,customer55@example.com,+84948900483,4992
56,customer56@example.com,+84920193880,31256
57,customer57@example.com,+84903385357,31256
58,customer58@example.com,+84944738553,31256
59,customer59@example.com,+84968574553,31256
60,customer60@example.com,+84916845364,31256
62,customer62@example.com,+84952157313,26282
63,customer63@example.com,+84995672411,26282
64,customer64@example.com,+84911392366,26282
67,customer67@example.com,+84969778859,26283
68,customer68@example.com,+84988883975,26283
69,customer69@example.com,+84913479854,26283
70,customer70@example.com,+84973506850,26283
71,customer71@example.com,+84913187277,26284
74,customer74@example.com,+84968979792,26284
75,customer75@example.com,+84937709731,26284
76,customer76@example.com,+84926939239,22523
78,customer78@example.com,+84923027075,22523
79,customer79@example.com,+84981200125,22523
80,customer80@example.com,+84986191493,22523
81,customer81@example.com,+84987796277,4993
82,customer82@example.com,+84966401385,4993
83,customer83@example.com,+84922335235,4993
85,customer85@example.com,+84900271836,4993
86,customer86@example.com,+84903584702,10971
88,customer88@example.com,+84952631083,10971
89,customer89@example.com,+84908585377,10971
90,customer90@example.com,+84986544585,10971
91,customer91@example.com,+84985157821,22524
92,customer92@example.com,+84987655395,22524
94,customer94@example.com,+84917824013,22524
95,customer95@example.com,+84936601694,22524
96,customer96@example.com,+84967105583,283
98,customer98@example.com,+84960304654,283
101,customer101@example.com,+84934119117,4994
102,customer102@example.com,+84936433622,4994
103,customer103@example.com,+84989482491,4994
104,customer104@example.com,+84960031992,4994
105,customer105@example.com,+84955105831,4994
106,customer106@example.com,+84903366612,2043
107,customer107@example.com,+84958743503,2043
108,customer108@example.com,+84991693393,2043
109,customer109@example.com,+84936258670,2043
112,customer112@example.com,+84969739572,9628
113,customer113@example.com,+84955848857,9628
114,customer114@example.com,+84957055419,9628
117,customer117@example.com,+84949160571,17849
118,customer118@example.com,+84968394024,17849
119,customer119@example.com,+84964525468,17849
120,customer120@example.com,+84989966606,17849
121,customer121@example.com,+84938727468,26285
122,customer122@example.com,+84951757120,26285
124,customer124@example.com,+84967157848,26285
125,customer125@example.com,+84977897542,26285
126,customer126@example.com,+84973665032,38005
127,customer127@example.com,+84995540567,38005
131,customer131@example.com,+84985390464,2044
132,customer132@example.com,+84948170987,2044
135,customer135@example.com,+84952562567,2044
136,customer136@example.com,+84923717335,22525
137,customer137@example.com,+84960472382,22525
138,customer138@example.com,+84912719242,22525
139,customer139@example.com,+84948715250,22525
140,customer140@example.com,+84983139152,22525
141,customer141@example.com,+84944054178,4995
142,customer142@example.com,+84938334882,4995
143,customer143@example.com,+84991355424,4995
145,customer145@example.com,+84952441466,4995
146,customer146@example.com,+84949583876,19955
147,customer147@example.com,+84986117865,19955
148,customer148@example.com,+84963203558,19955
149,customer149@example.com,+84995000616,19955
150,customer150@example.com,+84937407771,19955
152,customer152@example.com,+84983122310,10972
153,customer153@example.com,+84927009224,10972
154,customer154@example.com,+84951327755,10972
155,customer155@example.com,+84979018913,10972
156,customer156@example.com,+84907130144,4996
157,customer157@example.com,+84904545583,4996
158,customer158@example.com,+84954079037,4996
159,customer159@example.com,+84954474455,4996
160,customer160@example.com,+84941542436,4996
161,customer161@example.com,+84946626914,17850
162,customer162@example.com,+84953933927,17850
163,customer163@example.com,+84952453338,17850
166,customer166@example.com,+84914881728,12304
167,customer167@example.com,+84934045666,12304
168,customer168@example.com,+84912722094,12304
169,customer169@example.com,+84922178434,12304
170,customer170@example.com,+84946321408,12304
172,customer172@example.com,+84912796932,17851
173,customer173@example.com,+84974023414,17851
176,customer176@example.com,+84990053374,22526
177,customer177@example.com,+84926063245,22526
178,customer178@example.com,+84939443226,22526
179,customer179@example.com,+84997636744,22526
180,customer180@example.com,+84999483854,22526
181,customer181@example.com,+84991444238,19956
182,customer182@example.com,+84973619289,19956
184,customer184@example.com,+84907887739,19956
185,customer185@example.com,+84960736972,19956
186,customer186@example.com,+84961071026,36731
188,customer188@example.com,+84900769598,36731
189,customer189@example.com,+84989178975,36731
190,customer190@example.com,+84949007334,36731
191,customer191@example.com,+84928433648,9629
192,customer192@example.com,+84907971379,9629
193,customer193@example.com,+84903331068,9629
195,customer195@example.com,+84936810847,9629
197,customer197@example.com,+84934428803,38006
198,customer198@example.com,+84905654237,38006
204,customer204@example.com,+84961553124,31258
205,customer205@example.com,+84945816038,31258
206,customer206@example.com,+84917750764,2047
207,customer207@example.com,+84936898446,2047
208,customer208@example.com,+84923841962,2047
209,customer209@example.com,+84966834972,2047
211,customer211@example.com,+84943156515,33763
213,customer213@example.com,+84922993420,33763
214,customer214@example.com,+84962190751,33763
217,customer217@example.com,+84921970758,38009
218,customer218@example.com,+84936513466,38009
219,customer219@example.com,+84931288562,38009
220,customer220@example.com,+84921351509,38009
222,customer222@example.com,+84923484187,321
223,customer223@example.com,+84961777469,321
224,customer224@example.com,+84936093880,321
225,customer225@example.com,+84950441204,321
226,customer226@example.com,+84981752859,33783
227,customer227@example.com,+84996302107,33783
229,customer229@example.com,+84944066131,33783
231,customer231@example.com,+84975415325,19979
232,customer232@example.com,+84935563453,19979
233,customer233@example.com,+84934755914,19979
234,customer234@example.com,+84950873983,19979
235,customer235@example.com,+84990586459,19979
236,customer236@example.com,+84953892568,5024
238,customer238@example.com,+84923637222,5024
239,customer239@example.com,+84902484413,5024
240,customer240@example.com,+84970016224,5024
241,customer241@example.com,+84995057280,38029
242,customer242@example.com,+84939449976,38029
243,customer243@example.com,+84997453338,38029
245,customer245@example.com,+84989583549,38029
246,customer246@example.com,+84902235000,31287
247,customer247@example.com,+84923685747,31287
248,customer248@example.com,+84937876684,31287
249,customer249@example.com,+84972931048,31287
250,customer250@example.com,+84929859174,31287
251,customer251@example.com,+84936102853,322
252,customer252@example.com,+84946159303,322
253,customer253@example.com,+84912195226,322
254,customer254@example.com,+84947936136,322
257,customer257@example.com,+84969062973,9656
258,customer258@example.com,+84914421668,9656
259,customer259@example.com,+84921200096,9656
263,customer263@example.com,+84983375337,22562
264,customer264@example.com,+84923234510,22562
266,customer266@example.com,+84951715898,36763
267,customer267@example.com,+84945968757,36763
269,customer269@example.com,+84900061087,36763
270,customer270@example.com,+84980705119,36763
272,customer272@example.com,+84966653416,38030
273,customer273@example.com,+84985382256,38030
275,customer275@example.com,+84910274621,38030
276,customer276@example.com,+84913022704,11008
